year,series,Afghanistan
1973,PR,4
1973,CL,5
1973,Status,PF     
1974,PR,7
1974,CL,6
1974,Status,NF
1975,PR,7
1975,CL,6
1975,Status,NF
1976,PR,7
1976,CL,6
1976,Status,NF
1977,PR,7
1977,CL,6
1977,Status,NF
1978,PR,6
1978,CL,6
1978,Status,NF
1979,PR,7
1979,CL,7
1979,Status,NF
1980,PR,7
1980,CL,7
1980,Status,NF
1981,PR,7
1981,CL,7
1981,Status,NF
1983,PR,7
1983,CL,7
1983,Status,NF
1984,PR,7
1984,CL,7
1984,Status,NF
1985,PR,É
1985,CL,7
1985,Status,NF
1986,PR,7
1986,CL,7
1986,Status,NF
1987,PR,7
1987,CL,na
1987,Status,NF
1988,PR,7
1988,CL,7
1988,Status,NF
1989,PR,6
1989,CL,6
1989,Status,NF
1990,PR,7
1990,CL,7
1990,Status,NF
1991,PR,7
1991,CL,7
1991,Status,NF
1992,PR,7
1992,CL,7
1992,Status,NF
1993,PR,6
1993,CL,6
1993,Status,NF
1994,PR,7
1994,CL,7
1994,Status,NF
1995,PR,7
1995,CL,7
1995,Status,NF
1996,PR,7
1996,CL,7
1996,Status,NF
1997,PR,7
1997,CL,7
1997,Status,NF
1998,PR,7
1998,CL,7
1998,Status,NF
1999,PR,7
1999,CL,7
1999,Status,NF
2000,PR,7
2000,CL,7
2000,Status,NF
2001,PR,7
2001,CL,7
2001,Status,NF
2002,PR,7
2002,CL,7
2002,Status,NF
2003,PR,6
2003,CL,6
2003,Status,NF
2004,PR,6
2004,CL,6
2004,Status,NF
2005,PR,5
2005,CL,6
2005,Status,NF
2006,PR,5
2006,CL,5
2006,Status,PF
2007,PR,5
2007,CL,5
2007,Status,PF
2008,PR,5
2008,CL,5
2008,Status,PF
2009,PR,5
2009,CL,6
2009,Status,NF
2010,PR,6
2010,CL,6
2010,Status,NF
2011,PR,6
2011,CL,6
2011,Status,NF
2012,PR,6
2012,CL,6
2012,Status,NF
2013,PR,6
2013,CL,6
2013,Status,NF
2014,PR,6
2014,CL,6
2014,Status,NF
2015,PR,6
2015,CL,6
2015,Status,NF
2016,PR,6
2016,CL,6
2016,Status,NF
2017,PR,6
2017,CL,6
2017,Status,NF
2018,PR,5
2018,CL,6
2018,Status,NF
2019,PR,5
2019,CL,6
2019,Status,NF
