artist,album,album_num,track_title,track_n,line,lyric,top_10_song
Lady Gaga,The Fame,1,Just Dance,1,1,redone,1
Lady Gaga,The Fame,1,Just Dance,1,2,konvict,1
Lady Gaga,The Fame,1,Just Dance,1,3,gaga  oh oh  eh ,1
Lady Gaga,The Fame,1,Just Dance,1,4,i have had a little bit too much  much  oh  oh  oh oh ,1
Lady Gaga,The Fame,1,Just Dance,1,5,all of the people start to rush  start to rush by ,1
Lady Gaga,The Fame,1,Just Dance,1,6,a dizzy twister dance,1
Lady Gaga,The Fame,1,Just Dance,1,7,ca not find my drink or man,1
Lady Gaga,The Fame,1,Just Dance,1,8,where are my keys ,1
Lady Gaga,The Fame,1,Just Dance,1,9,i lost my phone  phone  oh  oh  oh oh ,1
Lady Gaga,The Fame,1,Just Dance,1,10,what going on on the floor ,1
Lady Gaga,The Fame,1,Just Dance,1,11,i love this record  baby  but i can not see straight anymore,1
Lady Gaga,The Fame,1,Just Dance,1,12,keep it cool,1
Lady Gaga,The Fame,1,Just Dance,1,13,what the name of this club ,1
Lady Gaga,The Fame,1,Just Dance,1,14,i can not remember  but it alright  alright,1
Lady Gaga,The Fame,1,Just Dance,1,15,just dance,1
Lady Gaga,The Fame,1,Just Dance,1,16,gonna be okay,1
Lady Gaga,The Fame,1,Just Dance,1,17,da da doo doot n  just dance,1
Lady Gaga,The Fame,1,Just Dance,1,18,spin that record  babe,1
Lady Gaga,The Fame,1,Just Dance,1,19,da da doo doot n  just dance,1
Lady Gaga,The Fame,1,Just Dance,1,20,gonna be okay,1
Lady Gaga,The Fame,1,Just Dance,1,21,da da da dance  dance  dance,1
Lady Gaga,The Fame,1,Just Dance,1,22,just j j just dance,1
Lady Gaga,The Fame,1,Just Dance,1,23,wish i could shut my playboy mouth  oh  oh  oh oh ,1
Lady Gaga,The Fame,1,Just Dance,1,24,how would i turn my shirt inside out   inside out  right ,1
Lady Gaga,The Fame,1,Just Dance,1,25,control your poison  babe,1
Lady Gaga,The Fame,1,Just Dance,1,26,roses have thorns  they say,1
Lady Gaga,The Fame,1,Just Dance,1,27,and we are all gettin  hosed tonight  oh  oh  oh oh ,1
Lady Gaga,The Fame,1,Just Dance,1,28,what going on on the floor ,1
Lady Gaga,The Fame,1,Just Dance,1,29,i love this record  baby  but i can not see straight anymore,1
Lady Gaga,The Fame,1,Just Dance,1,30,keep it cool,1
Lady Gaga,The Fame,1,Just Dance,1,31,what the name of this club ,1
Lady Gaga,The Fame,1,Just Dance,1,32,i can not remember  but it alright  alright,1
Lady Gaga,The Fame,1,Just Dance,1,33,just dance,1
Lady Gaga,The Fame,1,Just Dance,1,34,gonna be okay,1
Lady Gaga,The Fame,1,Just Dance,1,35,da da doo doot n  just dance,1
Lady Gaga,The Fame,1,Just Dance,1,36,spin that record  babe,1
Lady Gaga,The Fame,1,Just Dance,1,37,da da doo doot n  just dance,1
Lady Gaga,The Fame,1,Just Dance,1,38,gonna be okay,1
Lady Gaga,The Fame,1,Just Dance,1,39,da da da dance  dance  dance,1
Lady Gaga,The Fame,1,Just Dance,1,40,just j j just dance,1
Lady Gaga,The Fame,1,Just Dance,1,41,when i come through on the dance floor  checking out that catalogue,1
Lady Gaga,The Fame,1,Just Dance,1,42,ca not believe my eyes,1
Lady Gaga,The Fame,1,Just Dance,1,43,so many women without a flaw,1
Lady Gaga,The Fame,1,Just Dance,1,44,and i ai not gonna give it up,1
Lady Gaga,The Fame,1,Just Dance,1,45,steady  tryna pick it up  like a call,1
Lady Gaga,The Fame,1,Just Dance,1,46,i amma hit it  i amma beat it and latch onto it until tomorrow  yeah,1
Lady Gaga,The Fame,1,Just Dance,1,47,shorty  i can see that you got so much energy,1
Lady Gaga,The Fame,1,Just Dance,1,48,the way you twirling up them hips  round and  round,1
Lady Gaga,The Fame,1,Just Dance,1,49,and there is no reason at all why you can not leave here with me,1
Lady Gaga,The Fame,1,Just Dance,1,50,in the meantime  stay and let me watch you break it down,1
Lady Gaga,The Fame,1,Just Dance,1,51,and dance,1
Lady Gaga,The Fame,1,Just Dance,1,52,gonna be okay  oh oh ,1
Lady Gaga,The Fame,1,Just Dance,1,53,da da doo doot n  just dance  ooh  yeah ,1
Lady Gaga,The Fame,1,Just Dance,1,54,spin that record  babe,1
Lady Gaga,The Fame,1,Just Dance,1,55,da da doo doot n  just dance  ooh  yeah ,1
Lady Gaga,The Fame,1,Just Dance,1,56,gonna be okay,1
Lady Gaga,The Fame,1,Just Dance,1,57,da da doo doot n  just dance  ooh  yeah ,1
Lady Gaga,The Fame,1,Just Dance,1,58,spin that record  babe,1
Lady Gaga,The Fame,1,Just Dance,1,59,da da doo doot n  just dance  oh ,1
Lady Gaga,The Fame,1,Just Dance,1,60,gonna be okay,1
Lady Gaga,The Fame,1,Just Dance,1,61,da da da dance  dance  dance  gonna be okay  yeah ,1
Lady Gaga,The Fame,1,Just Dance,1,62,just j j just dance  oh ,1
